,year,destiny,origin,accepted
43797,2009,Belgium,Serbia and Kosovo (S/RES/1244 (1999)),129
43798,2009,Belgium,Sierra Leone,4
43799,2009,Belgium,Slovakia,0
43800,2009,Belgium,Slovenia,0
43801,2009,Belgium,Somalia,25
43802,2009,Belgium,South Africa,0
43803,2009,Belgium,Spain,0
43804,2009,Belgium,Sri Lanka,68
43805,2009,Belgium,Stateless,0
43806,2009,Belgium,Sudan,19
43807,2009,Belgium,Suriname,0
43808,2009,Belgium,Syrian Arab Rep.,50
43809,2009,Belgium,Tajikistan,0
43810,2009,Belgium,Thailand,0
43811,2009,Belgium,The former Yugoslav Republic of Macedonia,2
43812,2009,Belgium,Togo,16
43813,2009,Belgium,Tunisia,1
43814,2009,Belgium,Turkey,56
43815,2009,Belgium,Turkmenistan,0
43816,2009,Belgium,Uganda,4
43817,2009,Belgium,Ukraine,0
43818,2009,Belgium,United Arab Emirates,0
43819,2009,Belgium,United Rep. of Tanzania,7
43820,2009,Belgium,United States of America,0
43821,2009,Belgium,Uzbekistan,6
43822,2009,Belgium,Various/Unknown,232
43823,2009,Belgium,Viet Nam,0
43824,2009,Belgium,Yemen,1
43825,2009,Belgium,Zimbabwe,7
43826,2009,Belize,Cuba,0
43827,2009,Belize,Côte d'Ivoire,0
43828,2009,Belize,El Salvador,0
43829,2009,Belize,Guatemala,0
43830,2009,Belize,Honduras,0
43831,2009,Belize,Somalia,0
43832,2009,Benin,Burkina Faso,0
43833,2009,Benin,Burundi,0
43834,2009,Benin,Cameroon,0
43835,2009,Benin,Central African Rep.,3
43836,2009,Benin,Chad,10
43837,2009,Benin,Comoros,0
43838,2009,Benin,Congo,7
43839,2009,Benin,Côte d'Ivoire,0
43840,2009,Benin,Dem. Rep. of the Congo,12
43841,2009,Benin,Equatorial Guinea,1
43842,2009,Benin,Ethiopia,0
43843,2009,Benin,Gabon,0
43844,2009,Benin,Guinea,1
43845,2009,Benin,Kenya,0
43846,2009,Benin,Niger,0
43847,2009,Benin,Nigeria,1
43848,2009,Benin,Palestinian,0
43849,2009,Benin,Rwanda,0
43850,2009,Benin,Sierra Leone,0
43851,2009,Benin,Somalia,3
43852,2009,Benin,Sri Lanka,0
43853,2009,Benin,Sudan,0
43854,2009,Benin,Togo,12
43855,2009,Bolivia (Plurinational State of),Cameroon,0
43856,2009,Bolivia (Plurinational State of),Chile,1
43857,2009,Bolivia (Plurinational State of),Colombia,13
43858,2009,Bolivia (Plurinational State of),Côte d'Ivoire,0
43859,2009,Bolivia (Plurinational State of),Eritrea,0
43860,2009,Bolivia (Plurinational State of),Ethiopia,0
43861,2009,Bolivia (Plurinational State of),Kenya,0
43862,2009,Bolivia (Plurinational State of),Mali,0
43863,2009,Bolivia (Plurinational State of),Peru,0
43864,2009,Bolivia (Plurinational State of),Somalia,0
43865,2009,Bolivia (Plurinational State of),United States of America,0
43866,2009,Bosnia and Herzegovina,Algeria,0
43867,2009,Bosnia and Herzegovina,Cameroon,0
43868,2009,Bosnia and Herzegovina,China,0
43869,2009,Bosnia and Herzegovina,Croatia,0
43870,2009,Bosnia and Herzegovina,France,0
43871,2009,Bosnia and Herzegovina,Georgia,0
43872,2009,Bosnia and Herzegovina,Germany,0
43873,2009,Bosnia and Herzegovina,India,0
43874,2009,Bosnia and Herzegovina,Iraq,0
43875,2009,Bosnia and Herzegovina,Jordan,0
43876,2009,Bosnia and Herzegovina,Montenegro,0
43877,2009,Bosnia and Herzegovina,Nigeria,0
43878,2009,Bosnia and Herzegovina,Pakistan,0
43879,2009,Bosnia and Herzegovina,Palestinian,0
43880,2009,Bosnia and Herzegovina,Russian Federation,0
43881,2009,Bosnia and Herzegovina,Serbia and Kosovo (S/RES/1244 (1999)),0
43882,2009,Bosnia and Herzegovina,Sri Lanka,1
43883,2009,Bosnia and Herzegovina,Syrian Arab Rep.,0
43884,2009,Bosnia and Herzegovina,The former Yugoslav Republic of Macedonia,0
43885,2009,Bosnia and Herzegovina,Tunisia,0
43886,2009,Bosnia and Herzegovina,Turkey,0
43887,2009,Botswana,Burundi,0
43888,2009,Botswana,Dem. Rep. of the Congo,0
43889,2009,Botswana,Ethiopia,0
43890,2009,Botswana,Kenya,0
43891,2009,Botswana,Rwanda,0
43892,2009,Botswana,Sierra Leone,0
43893,2009,Botswana,Somalia,0
43894,2009,Botswana,Sudan,0
43895,2009,Botswana,Uganda,0
43896,2009,Botswana,Zimbabwe,48
43897,2009,Brazil,Afghanistan,0
43898,2009,Brazil,Albania,0
43899,2009,Brazil,Angola,1
43900,2009,Brazil,Argentina,0
43901,2009,Brazil,Bangladesh,0
43902,2009,Brazil,Bhutan,0
43903,2009,Brazil,Bolivia (Plurinational State of),121
43904,2009,Brazil,Burkina Faso,0
43905,2009,Brazil,Burundi,0
43906,2009,Brazil,Cameroon,0
43907,2009,Brazil,Central African Rep.,1
43908,2009,Brazil,Chad,1
43909,2009,Brazil,Colombia,36
43910,2009,Brazil,Congo,0
43911,2009,Brazil,Cuba,2
43912,2009,Brazil,Côte d'Ivoire,2
43913,2009,Brazil,Dem. Rep. of the Congo,56
43914,2009,Brazil,El Salvador,1
43915,2009,Brazil,Eritrea,4
43916,2009,Brazil,Ethiopia,1
43917,2009,Brazil,Gabon,0
43918,2009,Brazil,Ghana,0
43919,2009,Brazil,Guinea,2
43920,2009,Brazil,Guinea-Bissau,0
43921,2009,Brazil,Haiti,0
43922,2009,Brazil,Hungary,0
43923,2009,Brazil,Iraq,16
43924,2009,Brazil,Israel,0
43925,2009,Brazil,Jamaica,0
43926,2009,Brazil,Jordan,0
43927,2009,Brazil,Kenya,0
43928,2009,Brazil,Lebanon,0
43929,2009,Brazil,Liberia,0
